Date,Open,High,Low,Close,Adj Close,Volume
10/6/2017,81.769997,81.889999,81.360001,81.709999,80.960724,6070600
10/9/2017,81.839996,82.18,81.760002,82.029999,81.277786,7489900
10/10/2017,82.339996,82.739998,82.089996,82.260002,81.505684,7218500
10/11/2017,82.160004,82.739998,82.139999,82.599998,81.84256,7023700
10/12/2017,82.309998,82.5,82.169998,82.43,81.674126,6647500
10/13/2017,82.730003,83.080002,82.360001,82.410004,81.654312,7180000
10/16/2017,82.699997,82.949997,82.540001,82.809998,82.050636,5734000
10/17/2017,82.629997,82.970001,82.540001,82.959999,82.199265,6444100
10/18/2017,82.959999,83.389999,82.540001,82.760002,82.001099,6367100
10/19/2017,82.349998,83.050003,82.330002,82.739998,81.981277,7945500
10/20/2017,82.849998,83.129997,82.620003,83.110001,82.347885,9574100
10/23/2017,83.150002,83.760002,83.040001,83.239998,82.476692,9829900
10/24/2017,83.550003,83.809998,83.309998,83.470001,82.70459,7551200
10/25/2017,83.449997,83.730003,82.949997,83.169998,82.407333,9153300
10/26/2017,83.370003,83.650002,83.110001,83.470001,82.70459,9154500
10/27/2017,,,,,,
10/30/2017,,,,,,
10/31/2017,,,,,,
11/1/2017,,,,,,
11/2/2017,,,,,,
11/3/2017,,,,,,
11/6/2017,,,,,,
11/7/2017,,,,,,
11/8/2017,,,,,,
11/9/2017,,,,,,
11/10/2017,,,,,,
11/13/2017,,,,,,
11/14/2017,,,,,,
11/15/2017,,,,,,
11/16/2017,,,,,,
11/17/2017,,,,,,
11/20/2017,,,,,,
11/21/2017,,,,,,
11/22/2017,,,,,,
11/24/2017,,,,,,
11/27/2017,,,,,,
11/28/2017,,,,,,
11/29/2017,,,,,,
11/30/2017,,,,,,
12/1/2017,,,,,,
12/4/2017,,,,,,
12/5/2017,83.410004,83.769997,82.709999,82.889999,82.889999,9357200
12/6/2017,82.849998,83.199997,82.209999,82.279999,82.279999,13398900
12/7/2017,82.400002,82.620003,82.169998,82.550003,82.550003,11359600
12/8/2017,82.489998,82.900002,82.260002,82.660004,82.660004,11988600
12/11/2017,83.040001,83.25,82.739998,83.029999,83.029999,8760700
12/12/2017,82.889999,83.379997,82.699997,82.760002,82.760002,11307000
12/13/2017,82.610001,83.300003,82.480003,83.120003,83.120003,10172700
12/14/2017,83.029999,83.330002,82.889999,82.900002,82.900002,9492400
12/15/2017,83.160004,83.279999,82.870003,83.029999,83.029999,26582300
12/18/2017,83.18,83.669998,82.910004,82.940002,82.940002,9363500
12/19/2017,83.029999,83.169998,82.330002,82.440002,82.440002,10285100
12/20/2017,82.599998,83.139999,82.519997,82.870003,82.870003,10620300
12/21/2017,83.349998,84.269997,82.959999,83.849998,83.849998,13578100
12/22/2017,83.879997,84.019997,83.599998,83.970001,83.970001,10161400
12/26/2017,83.959999,84.360001,83.900002,83.980003,83.980003,4777200
12/27/2017,83.989998,84.099998,83.739998,83.900002,83.900002,7000600
12/28/2017,83.980003,84.050003,83.800003,84.019997,84.019997,7495300
12/29/2017,84,84.199997,83.639999,83.639999,83.639999,8523400
1/2/2018,83.82,85.199997,83.660004,85.029999,85.029999,11469300
1/3/2018,85.160004,86.970001,84.82,86.699997,86.699997,13957700
1/4/2018,86.790001,87.220001,86.43,86.82,86.82,10863000
1/5/2018,86.75,86.879997,85.709999,86.75,86.75,11047600
1/8/2018,86.699997,87.150002,86.599998,87.139999,87.139999,10927100
1/9/2018,86.940002,87.150002,86.650002,86.769997,86.769997,8131600
1/10/2018,87,87.190002,85.980003,86.080002,86.080002,10822300
1/11/2018,86.360001,87.370003,85.93,86.93,86.93,14366000
1/12/2018,87.199997,87.989998,87.18,87.519997,87.519997,9804900
